cust_id,age,income_mo,city_tier,cibil,tenure_mo,credit_limit,monthly_spend,food_spend,travel_spend,shopping_spend,entertainment_spend,utilities_spend,txn_count,avg_txn_value,util_rate,payment_behavior,emi_conversion,reward_pts_mo,intl_txn_pct,missed_payments,autopay_enabled,cluster,persona
CC0000000,60,39274,Tier2,696,25,90000,80975,20391,15743,19020,8838,16983,15,5398,0.9,Full,0,702,0.122,0,0,3,Premium Shopper
CC0000001,50,41312,Tier1,771,32,118000,78173,20243,17367,17528,7291,15744,15,5212,0.662,Partial,0,665,0.285,1,0,4,Everyday User
CC0000002,36,28754,Tier2,684,55,95000,41235,12782,3432,8943,4870,11208,17,2426,0.434,Partial,0,662,0.052,0,1,1,Everyday User
CC0000003,64,120294,Tier1,724,16,242000,208455,49442,35703,39400,16974,62536,19,10971,0.861,Full,1,715,0.014,0,0,2,Premium Shopper
CC0000004,29,22308,Tier3,697,76,67000,19893,3815,1864,3931,2975,5968,15,1326,0.297,Full,0,693,0.075,0,1,1,Everyday User
CC0000005,42,41215,Tier2,623,19,72000,39644,12015,3049,10709,1723,11893,18,2202,0.551,Minimum,1,709,0.001,0,1,0,Everyday User
CC0000006,60,38910,Tier2,702,72,73000,55091,10651,9371,12048,5623,16527,12,4591,0.755,Full,0,681,0.026,0,0,0,Everyday User
CC0000007,40,66520,Tier1,678,42,208000,159273,46385,14493,44848,13912,39636,15,10618,0.766,Full,1,734,0.051,1,1,3,Premium Shopper
CC0000008,44,70397,Tier2,763,2,227000,192083,46726,25915,41038,12668,57625,11,17462,0.846,Minimum,0,693,0.134,0,0,2,Premium Shopper
CC0000009,32,35624,Tier2,796,6,92000,16235,4096,2518,6385,1134,2101,14,1160,0.176,Partial,0,700,0.154,0,1,4,Everyday User
CC0000010,32,43235,Tier1,771,26,79000,69581,13721,4844,20610,4622,20874,21,3313,0.881,Partial,0,724,0.087,1,1,0,Everyday User
CC0000011,45,44228,Tier1,658,68,83000,30423,7876,5087,11637,4164,1658,14,2173,0.367,Minimum,0,672,0.004,0,1,1,Everyday User
CC0000012,57,9290,Tier1,628,42,32000,5578,1039,903,1942,785,909,18,310,0.174,Partial,0,692,0.161,0,0,1,Everyday User
CC0000013,61,13997,Tier2,604,50,37000,33235,8158,6563,8947,4339,5227,12,2770,0.898,Minimum,0,697,0.004,1,1,0,Everyday User
CC0000014,45,25260,Tier1,721,34,54000,44021,5663,6027,15662,5315,11355,15,2935,0.815,Full,0,727,0.135,0,0,4,Everyday User
CC0000015,24,25927,Tier1,660,63,69000,19785,6679,3008,2937,1807,5355,15,1319,0.287,Full,1,737,0.078,0,0,1,Everyday User
CC0000016,43,17684,Tier1,632,4,36000,11998,1372,1374,1410,942,3599,14,857,0.333,Minimum,0,670,0.131,0,1,1,Everyday User
CC0000017,23,56940,Tier2,847,33,170000,118020,12227,12735,19708,13779,35406,16,7376,0.694,Full,0,751,0.073,0,0,3,Premium Shopper
CC0000018,45,36362,Tier1,744,58,67000,57531,14424,4298,21361,8144,9303,17,3384,0.859,,0,681,0.001,0,0,0,Everyday User
CC0000019,51,31926,Tier3,733,54,65000,43618,10989,7946,15336,4322,5025,14,3116,0.671,Partial,0,693,0.01,0,1,0,Everyday User
CC0000020,59,17091,Tier1,730,25,50000,18379,6093,1100,5286,1912,3989,16,1149,0.368,Full,0,725,0.004,0,1,1,Everyday User
CC0000021,23,35358,Tier1,823,26,57000,34372,3714,5973,10469,3681,10312,21,1637,0.603,Minimum,0,701,0.002,0,0,0,Everyday User
CC0000022,42,7510,Tier2,698,73,26000,5075,1032,365,1885,180,1522,13,390,0.195,Full,0,705,0.085,0,1,1,Everyday User
CC0000023,54,32933,Tier3,753,33,71000,23422,4755,1234,4548,1243,7027,16,1464,0.33,Full,1,708,0.056,0,1,1,Everyday User
CC0000024,33,37719,Tier3,773,71,109000,93464,15775,14160,22850,5599,28039,11,8497,0.857,Minimum,0,709,0.022,0,1,3,Premium Shopper
